malnutrition,8
malnourished,7
guerrilla,7
Pakistani,7
Bhutto,7
Vietnam,7
Internationalist,6
hepatitis,6
communist,6
technocrat,6
Kosygin,6
Zbigniew,6
UNDP,6
Pashtun,6
Ministership,6
buildup,5
Liberation,5
Socialist,5
Maoist,5
heroin,5
Communists,5
expatriate,5
détente,5
Revolutionary,5
Masood,5
Soviet,5
Nangarhar,5
Pakistanis,5
warlord,5
percent,5
involvement,5
Pakistan,5
Amstutz,5
pressured,5
militants,5
weaponry,5
modernization,4
program,4
level,4
manpower,4
operative,4
Zahir,4
Pentagon,4
role,4
system,4
bureaucracy,4
terminal,4
coordinating,4
activity,4
Czechoslovak,4
Rummel,4
coordination,4
situation,4
Feifer,4
Brezhnev,4
Politburo,4
confrontation,4
area,4
development,4
deteriorating,4
Nuclear,4
personnel,3
estimates,3
response,3
unleashing,3
Leonid,3
USSR,3
struggle,3
Angola,3
BBC,3
population,3
relationship,3
Takhar,3
police,3
indoctrination,3
ideology,3
Tsarist,3
Congressman,3
bulldozing,2
coalition,2
boycott,2
economy,2
Mohammad,2
addiction,2
group,2
Khalid,2
achieved,2
damaging,2
elite,2
infiltrate,2
Nur,2
Czechoslovakia,2
chairman,2
Ahmad,2
pattern,2
cooperation,2
Arif,2
Israelis,2
growth,2
repression,2
Karachi,2
analyst,2
Ustinov,2
SSR,2
rejection,2
problem,2
Moscow,2
Harper,1
Comrade,1
Termez,1
Russian,1
Indo,1
specialized,1
Federation,1
countryside,1
Polytechnical,1
withdrawal,1
Semyon,1
formulate,1
agriculture,1
Ermacora,1
isolating,1
Cobra,1
ranking,1
hostility,1
Study,1
reaction,1
Dmitry,1
Sokolov,1
funnelled,1
breakdown,1
student,1
Yemen,1
extremist,1
Rahman,1
Duma,1
Zulfikar,1
mobilization,1
structure,1
